Sample_id,Label
MUC2676,Atopic eczema lesional skin
MUC2677,Atopic eczema non-lesional skin
MUC2678,Atopic eczema lesional skin
MUC2679,Atopic eczema non-lesional skin
MUC2680,Atopic eczema lesional skin
MUC2681,Atopic eczema non-lesional skin
MUC2684,Atopic eczema lesional skin
MUC2685,Atopic eczema non-lesional skin
MUC2688,Atopic eczema lesional skin
MUC2689,Atopic eczema non-lesional skin
MUC2690,Atopic eczema lesional skin
MUC2691,Atopic eczema non-lesional skin
MUC2692,Atopic eczema lesional skin
MUC2693,Atopic eczema non-lesional skin
MUC2697,Atopic eczema lesional skin
MUC2698,Atopic eczema non-lesional skin
MUC2703,Atopic eczema lesional skin
MUC2704,Atopic eczema non-lesional skin
MUC2707,Atopic eczema lesional skin
MUC2708,Atopic eczema non-lesional skin
MUC2711,Atopic eczema lesional skin
MUC2712,Atopic eczema non-lesional skin
MUC2717,Atopic eczema lesional skin
MUC2718,Atopic eczema non-lesional skin
MUC2719,Atopic eczema lesional skin
MUC2720,Atopic eczema non-lesional skin
MUC2733,Atopic eczema lesional skin
MUC2734,Atopic eczema non-lesional skin
MUC2777,Atopic eczema lesional skin
MUC2778,Atopic eczema non-lesional skin
MUC2836,Atopic eczema lesional skin
MUC2837,Atopic eczema non-lesional skin
MUC2892,Atopic eczema lesional skin
MUC2893,Atopic eczema non-lesional skin
MUC2894,Atopic eczema lesional skin
MUC2895,Atopic eczema non-lesional skin
MUC2897,Atopic eczema lesional skin
MUC2898,Atopic eczema non-lesional skin
MUC2899,Atopic eczema lesional skin
MUC2900,Atopic eczema non-lesional skin
MUC2902,Atopic eczema lesional skin
MUC2903,Atopic eczema non-lesional skin
MUC2905,Atopic eczema lesional skin
MUC2906,Atopic eczema non-lesional skin
MUC2907,Atopic eczema lesional skin
MUC2908,Atopic eczema non-lesional skin
MUC2910,Atopic eczema lesional skin
MUC2911,Atopic eczema non-lesional skin
MUC2913,Atopic eczema lesional skin
MUC2914,Atopic eczema non-lesional skin
MUC2916,Atopic eczema lesional skin
MUC2917,Atopic eczema non-lesional skin
MUC2943,Atopic eczema lesional skin
MUC2944,Atopic eczema non-lesional skin
MUC2945,Atopic eczema lesional skin
MUC2946,Atopic eczema non-lesional skin
MUC2951,Atopic eczema lesional skin
MUC2952,Atopic eczema non-lesional skin
MUC3753,Atopic eczema lesional skin
MUC3754,Atopic eczema non-lesional skin
MUC4253,Atopic eczema lesional skin
MUC4254,Atopic eczema non-lesional skin
MUC4259,Atopic eczema lesional skin
MUC4260,Atopic eczema non-lesional skin
MUC4279,Atopic eczema lesional skin
MUC4280,Atopic eczema non-lesional skin
MUC4281,Atopic eczema lesional skin
MUC4282,Atopic eczema non-lesional skin
MUC4285,Atopic eczema lesional skin
MUC4286,Atopic eczema non-lesional skin
MUC4287,Atopic eczema lesional skin
MUC4288,Atopic eczema non-lesional skin
MUC4291,Atopic eczema lesional skin
MUC4292,Atopic eczema non-lesional skin
MUC4299,Atopic eczema lesional skin
MUC4300,Atopic eczema non-lesional skin
MUC4301,Atopic eczema lesional skin
MUC4302,Atopic eczema non-lesional skin
MUC4313,Atopic eczema lesional skin
MUC4314,Atopic eczema non-lesional skin
MUC7237,Atopic eczema lesional skin
MUC7238,Atopic eczema non-lesional skin
MUC7277,Atopic eczema lesional skin
MUC7278,Atopic eczema non-lesional skin
MUC7320,Atopic eczema lesional skin
MUC7333,Atopic eczema lesional skin
MUC7334,Atopic eczema non-lesional skin
MUC7341,Atopic eczema lesional skin
MUC7342,Atopic eczema non-lesional skin
MUC7377,Atopic eczema lesional skin
MUC7378,Atopic eczema non-lesional skin
MUC7381,Atopic eczema lesional skin
MUC7389,Atopic eczema lesional skin
MUC7390,Atopic eczema non-lesional skin
